Ensembl Gene ID	Description	MGI symbol
ENSMUSG00000092263	vomeronasal 2, receptor, pseudogene 79 [Source:MGI Symbol;Acc:MGI:3761324]	Vmn2r-ps79
ENSMUSG00000083529	predicted gene 15035 [Source:MGI Symbol;Acc:MGI:3705594]	Gm15035
ENSMUSG00000091831	predicted gene 4707 [Source:MGI Symbol;Acc:MGI:3782887]	Gm4707
ENSMUSG00000095728	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:L7N204]	
ENSMUSG00000095352	predicted gene, 20783 [Source:MGI Symbol;Acc:MGI:5434139]	Gm20783
ENSMUSG00000083321	predicted gene 14931 [Source:MGI Symbol;Acc:MGI:3705469]	Gm14931
ENSMUSG00000081320	predicted gene 15034 [Source:MGI Symbol;Acc:MGI:3705605]	Gm15034
ENSMUSG00000097256		
ENSMUSG00000073878	predicted gene 13304 [Source:MGI Symbol;Acc:MGI:3710514]	Gm13304
ENSMUSG00000031711	zinc finger protein 330 [Source:MGI Symbol;Acc:MGI:1353574]	Zfp330
ENSMUSG00000097869		
ENSMUSG00000085867	predicted pseudogene 5834 [Source:MGI Symbol;Acc:MGI:3643955]	Gm5834
ENSMUSG00000022322	Shc SH2-domain binding protein 1 [Source:MGI Symbol;Acc:MGI:1338802]	Shcbp1
ENSMUSG00000047441	anthrax toxin receptor-like [Source:MGI Symbol;Acc:MGI:1925726]	Antxrl
ENSMUSG00000082347	predicted gene 15036 [Source:MGI Symbol;Acc:MGI:3705589]	Gm15036
ENSMUSG00000098081		
ENSMUSG00000086067	predicted gene 16183 [Source:MGI Symbol;Acc:MGI:3802174]	Gm16183
ENSMUSG00000066899	olfactory receptor 870 [Source:MGI Symbol;Acc:MGI:3030704]	Olfr870
ENSMUSG00000095076	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:L7N459]	
ENSMUSG00000011632	phospholipase A2 inhibitor and LY6/PLAUR domain containing [Source:MGI Symbol;Acc:MGI:3615324]	Pinlyp
ENSMUSG00000079635	reproductive homeobox 4C [Source:MGI Symbol;Acc:MGI:3613386]	Rhox4c
ENSMUSG00000087369	predicted gene 14696 [Source:MGI Symbol;Acc:MGI:3705257]	Gm14696
ENSMUSG00000081546	predicted gene 14927 [Source:MGI Symbol;Acc:MGI:3708103]	Gm14927
ENSMUSG00000030471	zinc finger, DHHC domain containing 13 [Source:MGI Symbol;Acc:MGI:1919227]	Zdhhc13
ENSMUSG00000091997	predicted gene 6611 [Source:MGI Symbol;Acc:MGI:3645568]	Gm6611
ENSMUSG00000022412	Smith-Magenis syndrome chromosome region, candidate 7-like (human) [Source:MGI Symbol;Acc:MGI:2146020]	Smcr7l
ENSMUSG00000070323	matrix metallopeptidase 27 [Source:MGI Symbol;Acc:MGI:3039232]	Mmp27
ENSMUSG00000097082		
ENSMUSG00000064043	transcriptional regulating factor 1 [Source:MGI Symbol;Acc:MGI:2442086]	Trerf1
ENSMUSG00000078489	predicted gene 17106 [Source:MGI Symbol;Acc:MGI:4937933]	Gm17106
ENSMUSG00000061457	olfactory receptor 871 [Source:MGI Symbol;Acc:MGI:3030705]	Olfr871
ENSMUSG00000089640	predicted gene 6397 [Source:MGI Symbol;Acc:MGI:3648542]	Gm6397
ENSMUSG00000063897	dehydrogenase/reductase (SDR family) X chromosome (Dhrsx), mRNA [Source:RefSeq mRNA;Acc:NM_001033326]	
ENSMUSG00000081728	predicted gene 14930 [Source:MGI Symbol;Acc:MGI:3705504]	Gm14930
ENSMUSG00000098152		
ENSMUSG00000097130		
ENSMUSG00000085550	predicted gene 15658 [Source:MGI Symbol;Acc:MGI:3783101]	Gm15658
ENSMUSG00000029369	afamin [Source:MGI Symbol;Acc:MGI:2429409]	Afm
ENSMUSG00000021832	proteasome (prosome, macropain) 26S subunit, ATPase, 6 [Source:MGI Symbol;Acc:MGI:1914339]	Psmc6
ENSMUSG00000083275	predicted gene 4993 [Source:MGI Symbol;Acc:MGI:3647205]	Gm4993
ENSMUSG00000086948	predicted gene 14697 [Source:MGI Symbol;Acc:MGI:3705281]	Gm14697
ENSMUSG00000096930	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:Q9CVR1]	
ENSMUSG00000079356	methyltransferase like 4, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3779337]	Mettl4-ps1
ENSMUSG00000080078	predicted gene 15583 [Source:MGI Symbol;Acc:MGI:3783031]	Gm15583
ENSMUSG00000087685	RIKEN cDNA 1700122E12 gene [Source:MGI Symbol;Acc:MGI:1920869]	1700122E12Rik
ENSMUSG00000097104		
ENSMUSG00000087627	RIKEN cDNA A230059L01 gene [Source:MGI Symbol;Acc:MGI:2443688]	A230059L01Rik
ENSMUSG00000080695	predicted gene 5394 [Source:MGI Symbol;Acc:MGI:3646155]	Gm5394
ENSMUSG00000083668	predicted pseudogene 5648 [Source:MGI Symbol;Acc:MGI:3647868]	Gm5648
ENSMUSG00000030246	lactate dehydrogenase B [Source:MGI Symbol;Acc:MGI:96763]	Ldhb
ENSMUSG00000072731	predicted gene 3715 [Source:MGI Symbol;Acc:MGI:3781891]	Gm3715
ENSMUSG00000032066	beta-carotene oxygenase 2 [Source:MGI Symbol;Acc:MGI:2177469]	Bco2
ENSMUSG00000031774	family with sequence similarity 192, member A [Source:MGI Symbol;Acc:MGI:1919637]	Fam192a
ENSMUSG00000083699	predicted gene 14932 [Source:MGI Symbol;Acc:MGI:3705471]	Gm14932
ENSMUSG00000066897	olfactory receptor 872 [Source:MGI Symbol;Acc:MGI:3030706]	Olfr872
ENSMUSG00000081722	predicted gene 11763 [Source:MGI Symbol;Acc:MGI:3651077]	Gm11763
ENSMUSG00000083455	predicted gene 15037 [Source:MGI Symbol;Acc:MGI:3705613]	Gm15037
ENSMUSG00000029204	ras homolog gene family, member H [Source:MGI Symbol;Acc:MGI:1921984]	Rhoh
ENSMUSG00000070979	actin-like 7a [Source:MGI Symbol;Acc:MGI:1343051]	Actl7a
ENSMUSG00000090214	predicted gene 15657 [Source:MGI Symbol;Acc:MGI:3783100]	Gm15657
ENSMUSG00000085822	predicted gene 15584 [Source:MGI Symbol;Acc:MGI:3783032]	Gm15584
ENSMUSG00000097331		
ENSMUSG00000027863	CD2 antigen [Source:MGI Symbol;Acc:MGI:88320]	Cd2
ENSMUSG00000083014	predicted gene 11764 [Source:MGI Symbol;Acc:MGI:3651078]	Gm11764
ENSMUSG00000082590	predicted gene 14943 [Source:MGI Symbol;Acc:MGI:3705626]	Gm14943
ENSMUSG00000082192	predicted gene 14719 [Source:MGI Symbol;Acc:MGI:3705771]	Gm14719
ENSMUSG00000083399	predicted gene 15033 [Source:MGI Symbol;Acc:MGI:3705364]	Gm15033
ENSMUSG00000085958	RIKEN cDNA A930019D19 gene [Source:MGI Symbol;Acc:MGI:1925056]	A930019D19Rik
ENSMUSG00000084054	predicted gene 14945 [Source:MGI Symbol;Acc:MGI:3705383]	Gm14945
ENSMUSG00000082588	predicted gene 15443 [Source:MGI Symbol;Acc:MGI:3642525]	Gm15443
ENSMUSG00000097754		
ENSMUSG00000083754	predicted gene 7803 [Source:MGI Symbol;Acc:MGI:3646089]	Gm7803
ENSMUSG00000084110	predicted pseudogene 4992 [Source:MGI Symbol;Acc:MGI:3647043]	Gm4992
ENSMUSG00000097526		
ENSMUSG00000047880	chemokine (C-X-C motif) receptor 5 [Source:MGI Symbol;Acc:MGI:103567]	Cxcr5
ENSMUSG00000084062	predicted gene 14611 [Source:MGI Symbol;Acc:MGI:3705682]	Gm14611
ENSMUSG00000081535	predicted gene 15453 [Source:MGI Symbol;Acc:MGI:3642874]	Gm15453
ENSMUSG00000095250		
ENSMUSG00000082660	predicted gene 14612 [Source:MGI Symbol;Acc:MGI:3705459]	Gm14612
ENSMUSG00000082840	predicted gene 16421 [Source:MGI Symbol;Acc:MGI:3645976]	Gm16421
ENSMUSG00000095787		
ENSMUSG00000087026	RIKEN cDNA A230103J11 gene [Source:MGI Symbol;Acc:MGI:2444082]	A230103J11Rik
ENSMUSG00000081095	predicted gene 14946 [Source:MGI Symbol;Acc:MGI:3705660]	Gm14946
ENSMUSG00000097353		
ENSMUSG00000086083	predicted gene 15829 [Source:MGI Symbol;Acc:MGI:3801893]	Gm15829
ENSMUSG00000096100		
ENSMUSG00000080721	predicted gene 14944 [Source:MGI Symbol;Acc:MGI:3705358]	Gm14944
ENSMUSG00000083537	predicted gene 14942 [Source:MGI Symbol;Acc:MGI:3646389]	Gm14942
ENSMUSG00000095672		
ENSMUSG00000051768	X-ray repair complementing defective repair in Chinese hamster cells 1 [Source:MGI Symbol;Acc:MGI:99137]	Xrcc1
ENSMUSG00000083112	predicted gene 14620 [Source:MGI Symbol;Acc:MGI:3705421]	Gm14620
ENSMUSG00000018648	dual specificity phosphatase 14 [Source:MGI Symbol;Acc:MGI:1927168]	Dusp14
ENSMUSG00000085492	tRNA methyltransferase 61B [Source:MGI Symbol;Acc:MGI:1916039]	Trmt61b
ENSMUSG00000083883	predicted gene 14941 [Source:MGI Symbol;Acc:MGI:3705419]	Gm14941
ENSMUSG00000042938	predicted gene 14117 [Source:MGI Symbol;Acc:MGI:3651328]	Gm14117
ENSMUSG00000079190		
ENSMUSG00000092529	vomeronasal 2, receptor, pseudogene 80 [Source:MGI Symbol;Acc:MGI:3761325]	Vmn2r-ps80
ENSMUSG00000059623	olfactory receptor 39 [Source:MGI Symbol;Acc:MGI:1313142]	Olfr39
ENSMUSG00000086452	predicted gene 14947 [Source:MGI Symbol;Acc:MGI:3642731]	Gm14947
ENSMUSG00000097372		
ENSMUSG00000092608	vomeronasal 2, receptor, pseudogene 81 [Source:MGI Symbol;Acc:MGI:3761326]	Vmn2r-ps81
ENSMUSG00000085396	RIKEN cDNA 6720401G13 gene [Source:MGI Symbol;Acc:MGI:2147989]	6720401G13Rik
ENSMUSG00000085796	RIKEN cDNA 4933406D12 gene [Source:MGI Symbol;Acc:MGI:1921315]	4933406D12Rik
ENSMUSG00000083490	predicted gene 14940 [Source:MGI Symbol;Acc:MGI:3705334]	Gm14940
ENSMUSG00000092330	vomeronasal 2, receptor, pseudogene 82 [Source:MGI Symbol;Acc:MGI:3761327]	Vmn2r-ps82
ENSMUSG00000092357	vomeronasal 2, receptor, pseudogene 83 [Source:MGI Symbol;Acc:MGI:3761328]	Vmn2r-ps83
ENSMUSG00000095005	amplified spermatogenic transcripts X encoded 6 [Source:MGI Symbol;Acc:MGI:3705134]	Astx6
ENSMUSG00000093650	predicted gene 20631 [Source:MGI Symbol;Acc:MGI:5313078]	Gm20631
ENSMUSG00000052192	predicted pseudogene 5963 [Source:MGI Symbol;Acc:MGI:3648418]	Gm5963
ENSMUSG00000097429		
ENSMUSG00000029205	cholinergic receptor, nicotinic, alpha polypeptide 9 [Source:MGI Symbol;Acc:MGI:1202403]	Chrna9
ENSMUSG00000095698	reproductive homeobox 2D [Source:MGI Symbol;Acc:MGI:3648779]	Rhox2d
ENSMUSG00000062279	predicted gene 10237 [Source:MGI Symbol;Acc:MGI:3641816]	Gm10237
ENSMUSG00000097426		
ENSMUSG00000086324	predicted gene 15564 [Source:MGI Symbol;Acc:MGI:3783013]	Gm15564
ENSMUSG00000096940		
ENSMUSG00000094514		
ENSMUSG00000063886	predicted gene 10138 [Source:MGI Symbol;Acc:MGI:3708522]	Gm10138
ENSMUSG00000021276	cyclin-dependent kinase 2 interacting protein [Source:MGI Symbol;Acc:MGI:1914486]	Cinp
ENSMUSG00000094242	predicted gene 5456 [Source:MGI Symbol;Acc:MGI:3643775]	Gm5456
ENSMUSG00000080878	predicted gene 15618 [Source:MGI Symbol;Acc:MGI:3783063]	Gm15618
ENSMUSG00000094054		
ENSMUSG00000044134	family with sequence similarity 109, member A [Source:MGI Symbol;Acc:MGI:2442708]	Fam109a
ENSMUSG00000086145	predicted gene 15479 [Source:MGI Symbol;Acc:MGI:3705129]	Gm15479
ENSMUSG00000084776	predicted gene 14951 [Source:MGI Symbol;Acc:MGI:3705251]	Gm14951
ENSMUSG00000079800	Putative uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:Q3TR44]	
ENSMUSG00000018678	Sp2 transcription factor [Source:MGI Symbol;Acc:MGI:1926162]	Sp2
ENSMUSG00000014747	ankyrin repeat domain 53 [Source:MGI Symbol;Acc:MGI:1922555]	Ankrd53
ENSMUSG00000002797	gamma-glutamyl cyclotransferase [Source:MGI Symbol;Acc:MGI:95700]	Ggct
ENSMUSG00000095294	predicted gene, 21119 [Source:MGI Symbol;Acc:MGI:5434474]	Gm21119
ENSMUSG00000097841		
ENSMUSG00000040297	SUN domain containing ossification factor [Source:MGI Symbol;Acc:MGI:2138346]	Suco
ENSMUSG00000096362	ribosomal protein S12, pseudogene 22 [Source:MGI Symbol;Acc:MGI:3648701]	Rps12-ps21
ENSMUSG00000080950	predicted gene 7278 [Source:MGI Symbol;Acc:MGI:3645261]	Gm7278
ENSMUSG00000038489	polymerase (RNA) II (DNA directed) polypeptide L [Source:MGI Symbol;Acc:MGI:1913741]	Polr2l
ENSMUSG00000019933	RIKEN cDNA 2310015B20 gene [Source:MGI Symbol;Acc:MGI:1916813]	2310015B20Rik
ENSMUSG00000096776	vomeronasal 1 receptor Vmn1r186 (Vmn1r186), mRNA [Source:RefSeq mRNA;Acc:NM_001167567]	
ENSMUSG00000079138	predicted pseudogene 8818 [Source:MGI Symbol;Acc:MGI:3645903]	Gm8818
ENSMUSG00000095092		
ENSMUSG00000032097	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6 [Source:MGI Symbol;Acc:MGI:104976]	Ddx6
ENSMUSG00000073535	predicted gene 5532 [Source:MGI Symbol;Acc:MGI:3646828]	Gm5532
ENSMUSG00000089779	predicted gene 15641 [Source:MGI Symbol;Acc:MGI:3783085]	Gm15641
ENSMUSG00000094288	amplified spermatogenic transcripts X encoded 2 [Source:MGI Symbol;Acc:MGI:3705176]	Astx2
ENSMUSG00000024776	STAM binding protein like 1 [Source:MGI Symbol;Acc:MGI:1923880]	Stambpl1
ENSMUSG00000096244	vomeronasal 1 receptor Vmn1r187 (Vmn1r187), mRNA [Source:RefSeq mRNA;Acc:NM_001167568]	
ENSMUSG00000029322	placenta-specific 8 [Source:MGI Symbol;Acc:MGI:2445289]	Plac8
ENSMUSG00000079192		
ENSMUSG00000040751	linker for activation of T cells family, member 2 [Source:MGI Symbol;Acc:MGI:1926479]	Lat2
ENSMUSG00000079794		
ENSMUSG00000092532	vomeronasal 2, receptor, pseudogene 84 [Source:MGI Symbol;Acc:MGI:3761329]	Vmn2r-ps84
ENSMUSG00000094799		
ENSMUSG00000080870	predicted gene 14111 [Source:MGI Symbol;Acc:MGI:3652258]	Gm14111
ENSMUSG00000098193		
ENSMUSG00000097627		
ENSMUSG00000092587	vomeronasal 2, receptor, pseudogene 85 [Source:MGI Symbol;Acc:MGI:3761330]	Vmn2r-ps85
ENSMUSG00000078097	predicted pseudogene 10913 [Source:MGI Symbol;Acc:MGI:3779121]	Gm10913
ENSMUSG00000087618	predicted gene 14114 [Source:MGI Symbol;Acc:MGI:3652257]	Gm14114
ENSMUSG00000058656	sterile alpha motif domain containing 12 [Source:MGI Symbol;Acc:MGI:2444518]	Samd12
ENSMUSG00000092419	vomeronasal 2, receptor, pseudogene 86 [Source:MGI Symbol;Acc:MGI:3761331]	Vmn2r-ps86
ENSMUSG00000037762	solute carrier family 16 (monocarboxylic acid transporters), member 9 [Source:MGI Symbol;Acc:MGI:1914109]	Slc16a9
ENSMUSG00000034780	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1349403]	B3galt1
ENSMUSG00000093828	C-C motif chemokine 27  [Source:UniProtKB/Swiss-Prot;Acc:Q9Z1X0]	
ENSMUSG00000075228	predicted gene 10813 [Source:MGI Symbol;Acc:MGI:3708613]	Gm10813
ENSMUSG00000081492	predicted gene 9311 [Source:MGI Symbol;Acc:MGI:3644818]	Gm9311
ENSMUSG00000032579	HemK methyltransferase family member 1 [Source:MGI Symbol;Acc:MGI:1916786]	Hemk1
ENSMUSG00000079633	reproductive homeobox 4D [Source:MGI Symbol;Acc:MGI:3613388]	Rhox4d
ENSMUSG00000097580		
ENSMUSG00000087689	predicted gene 15845 [Source:MGI Symbol;Acc:MGI:3801825]	Gm15845
ENSMUSG00000036030	protogenin homolog (Gallus gallus) [Source:MGI Symbol;Acc:MGI:2444710]	Prtg
ENSMUSG00000095277	ribosomal protein S12, pseudogene 22 [Source:MGI Symbol;Acc:MGI:3649154]	Rps12-ps22
ENSMUSG00000086798	predicted gene 16222 [Source:MGI Symbol;Acc:MGI:3801901]	Gm16222
ENSMUSG00000096493	predicted pseudogene 10031 [Source:MGI Symbol;Acc:MGI:3704198]	Gm10031
ENSMUSG00000090168	RIKEN cDNA D630014O11 gene [Source:MGI Symbol;Acc:MGI:2442874]	D630014O11Rik
ENSMUSG00000085536	predicted gene 14950 [Source:MGI Symbol;Acc:MGI:3705168]	Gm14950
ENSMUSG00000028488	SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]	Sh3gl2
ENSMUSG00000097055		
ENSMUSG00000095623	Interleukin-11 receptor subunit alpha-2  [Source:UniProtKB/Swiss-Prot;Acc:P70225]	
ENSMUSG00000046057	predicted pseudogene 15428 [Source:MGI Symbol;Acc:MGI:3642670]	Gm15428
ENSMUSG00000091786	predicted gene 8425 [Source:MGI Symbol;Acc:MGI:3645899]	Gm8425
ENSMUSG00000089711	predicted gene 16240 [Source:MGI Symbol;Acc:MGI:3801994]	Gm16240
ENSMUSG00000014748	testis expressed gene 261 [Source:MGI Symbol;Acc:MGI:1096575]	Tex261
ENSMUSG00000096954		
ENSMUSG00000087632	predicted gene 6058 [Source:MGI Symbol;Acc:MGI:3648617]	Gm6058
ENSMUSG00000084834	RIKEN cDNA 4930565N06 gene [Source:MGI Symbol;Acc:MGI:1915556]	4930565N06Rik
ENSMUSG00000095391	Protein 1700045I11Rik  [Source:UniProtKB/TrEMBL;Acc:E9PWJ3]	
ENSMUSG00000025437	ubiquitin specific peptidase 33 [Source:MGI Symbol;Acc:MGI:2159711]	Usp33
ENSMUSG00000087093	predicted gene 15486 [Source:MGI Symbol;Acc:MGI:3705263]	Gm15486
ENSMUSG00000096669	predicted gene 10590 [Source:MGI Symbol;Acc:MGI:3641654]	Gm10590
ENSMUSG00000094661	C-C motif chemokine 19  [Source:UniProtKB/Swiss-Prot;Acc:O70460]	
ENSMUSG00000093796	ribosomal protein S12, pseudogene 23 [Source:MGI Symbol;Acc:MGI:3647025]	Rps12-ps23
ENSMUSG00000025511	tetraspanin 4 [Source:MGI Symbol;Acc:MGI:1928097]	Tspan4
ENSMUSG00000084025	predicted pseudogene 6276 [Source:MGI Symbol;Acc:MGI:3645369]	Gm6276
ENSMUSG00000086241	RIKEN cDNA 4930483K19 gene [Source:MGI Symbol;Acc:MGI:1922203]	4930483K19Rik
ENSMUSG00000082556	predicted gene 5387 [Source:MGI Symbol;Acc:MGI:3647396]	Gm5387
ENSMUSG00000066958	predicted pseudogene 16391 [Source:MGI Symbol;Acc:MGI:3645390]	Gm16391
ENSMUSG00000057499	predicted gene 6177 [Source:MGI Symbol;Acc:MGI:3643753]	Gm6177
ENSMUSG00000097494		
ENSMUSG00000095320	C-C motif chemokine 21a  [Source:UniProtKB/Swiss-Prot;Acc:P84444]	
ENSMUSG00000095521	amplified spermatogenic transcripts X encoded 5 [Source:MGI Symbol;Acc:MGI:3705133]	Astx5
ENSMUSG00000083447	predicted gene 11904 [Source:MGI Symbol;Acc:MGI:3650583]	Gm11904
ENSMUSG00000082950	predicted gene 7834 [Source:MGI Symbol;Acc:MGI:3643838]	Gm7834
ENSMUSG00000091058	predicted gene, 17538 [Source:MGI Symbol;Acc:MGI:4937172]	Gm17538
ENSMUSG00000080958	predicted gene 11902 [Source:MGI Symbol;Acc:MGI:3650593]	Gm11902
